productCode,storeCode,invoiceDate,quantity,amount
P001,S001,2024-01-15,10,250.00
P002,S001,2024-01-15,5,150.00
P003,S002,2024-01-16,8,200.00
P004,S003,2024-01-17,12,360.00
P005,S004,2024-01-18,6,180.00
P006,S005,2024-01-19,15,450.00
P007,S006,2024-01-20,9,270.00
P008,S007,2024-01-21,20,600.00
P009,S008,2024-01-22,7,210.00
P010,S009,2024-01-23,25,750.00
P011,S010,2024-01-24,11,330.00
P012,S011,2024-01-25,14,420.00
P013,S012,2024-01-26,8,240.00
P014,S013,2024-01-27,16,480.00
P015,S014,2024-01-28,13,390.00
P016,S015,2024-01-29,10,300.00
P017,S016,2024-01-30,18,540.00
P018,S017,2024-01-31,22,660.00
P019,S018,2024-02-01,9,270.00
P020,S019,2024-02-02,12,360.00
P021,S020,2024-02-03,15,450.00
P022,S001,2024-02-04,8,240.00
P023,S002,2024-02-05,20,600.00
P024,S003,2024-02-06,11,330.00
P025,S004,2024-02-07,14,420.00
P026,S005,2024-02-08,7,210.00
P027,S006,2024-02-09,19,570.00
P028,S007,2024-02-10,10,300.00
P029,S008,2024-02-11,16,480.00
P030,S009,2024-02-12,13,390.00
P031,S010,2024-02-13,21,630.00
P032,S011,2024-02-14,9,270.00
P033,S012,2024-02-15,12,360.00
P034,S013,2024-02-16,15,450.00
P035,S014,2024-02-17,8,240.00
P036,S015,2024-02-18,18,540.00
P037,S016,2024-02-19,11,330.00
P038,S017,2024-02-20,14,420.00
P039,S018,2024-02-21,20,600.00
P040,S019,2024-02-22,7,210.00
P041,S020,2024-02-23,16,480.00
P042,S001,2024-02-24,13,390.00
P043,S002,2024-02-25,10,300.00
P044,S003,2024-02-26,19,570.00
P045,S004,2024-02-27,22,660.00
P046,S005,2024-02-28,9,270.00
P047,S006,2024-02-29,12,360.00
P048,S007,2024-03-01,15,450.00
P049,S008,2024-03-02,8,240.00
P050,S009,2024-03-03,20,600.00
P001,S010,2024-03-04,11,330.00
P002,S011,2024-03-05,14,420.00
P003,S012,2024-03-06,7,210.00
P004,S013,2024-03-07,18,540.00
P005,S014,2024-03-08,10,300.00
P006,S015,2024-03-09,16,480.00
P007,S016,2024-03-10,13,390.00
P008,S017,2024-03-11,21,630.00
P009,S018,2024-03-12,9,270.00
P010,S019,2024-03-13,12,360.00
P001,S001,2023-01-15,9,225.00
P002,S001,2023-01-15,4,120.00
P003,S002,2023-01-16,7,175.00
P004,S003,2023-01-17,11,330.00
P005,S004,2023-01-18,5,150.00
P006,S005,2023-01-19,14,420.00
P007,S006,2023-01-20,8,240.00
P008,S007,2023-01-21,18,540.00
P009,S008,2023-01-22,6,180.00
P010,S009,2023-01-23,22,660.00
P011,S010,2023-01-24,10,300.00
P012,S011,2023-01-25,13,390.00
P013,S012,2023-01-26,7,210.00
P014,S013,2023-01-27,15,450.00
P015,S014,2023-01-28,12,360.00
P016,S015,2023-01-29,9,270.00
P017,S016,2023-01-30,17,510.00
P018,S017,2023-01-31,20,600.00
P019,S018,2023-02-01,8,240.00
P020,S019,2023-02-02,11,330.00
P021,S020,2023-02-03,14,420.00
P022,S001,2023-02-04,7,210.00
P023,S002,2023-02-05,19,570.00
P024,S003,2023-02-06,10,300.00
P025,S004,2023-02-07,13,390.00
P026,S005,2023-02-08,6,180.00
P027,S006,2023-02-09,18,540.00
P028,S007,2023-02-10,9,270.00
P029,S008,2023-02-11,15,450.00
P030,S009,2023-02-12,12,360.00
P031,S010,2023-02-13,20,600.00
P032,S011,2023-02-14,8,240.00
P033,S012,2023-02-15,11,330.00
P034,S013,2023-02-16,14,420.00
P035,S014,2023-02-17,7,210.00
P036,S015,2023-02-18,17,510.00
P037,S016,2023-02-19,10,300.00
P038,S017,2023-02-20,13,390.00
P039,S018,2023-02-21,19,570.00
P040,S019,2023-02-22,6,180.00
